customer_id,first_name,last_name,state,birthdate,education,gender,date_account_opened
50,Audrey,Osborn,CA,1939-03-09,Partial High School,M,2010-06-03
100,Mary,Hunt,CA,1946-12-14,Partial High School,F,2007-08-06
150,Mary,McCormick,WA,1946-05-06,High School Degree,F,2008-11-06
200,Pamela,Yates,CA,1994-06-13,Partial College,F,2009-07-08
250,Louis,McGrath,OR,1936-03-25,High School Degree,M,2010-06-20
350,Phyllis,Tuffield,CA,1945-02-10,Bachelors Degree,F,2009-03-21
400,Cornelius,Brandon,WA,1937-10-23,Bachelors Degree,F,2008-12-07
500,Patrick,Magenheimer,CA,1952-03-04,High School Degree,F,2010-04-20
550,Carlos,Short,CA,1934-08-06,Bachelors Degree,F,2009-02-02
600,Pamala,Kotc,CA,1988-05-20,Partial High School,F,2009-10-19
650,Robert,Vessa,OR,1965-06-01,Bachelors Degree,M,2009-09-11
700,Mike,White,CA,1978-02-03,Bachelors Degree,F,2008-01-22
750,Kendra,Thompson,OR,1968-02-08,High School Degree,M,2009-06-12
900,Robert,Wright,CA,1936-10-17,Partial High School,F,2008-02-26
950,Arturo,Poisson,OR,1976-11-26,High School Degree,M,2008-04-20
1100,Rachel,Purcell,WA,1989-09-19,High School Degree,F,2011-08-08
1150,Foster,Detwiler,CA,1993-08-17,Partial College,M,2011-02-13
1200,Linda,McCain,CA,1991-08-19,High School Degree,F,2010-08-15
1250,Joseph,Schofield,WA,1963-02-11,Bachelors Degree,M,2008-02-16
1300,Janie,Snell,CA,1947-08-18,High School Degree,M,2008-11-01
1450,Lora,Garcia,WA,1950-06-02,Bachelors Degree,M,2010-03-05
1500,Mark,Delong,WA,1928-10-26,Partial High School,F,2008-01-08
1650,Kelly,Scott,CA,1987-08-25,Partial High School,M,2010-11-09
1700,Sarah,Caudill,WA,1940-02-13,High School Degree,F,2010-10-09
1750,Rita,Romo,CA,1932-12-13,Bachelors Degree,F,2007-09-15
1800,Ruth,Burger,OR,1967-03-14,Partial College,F,2009-12-12
1850,Jack,Zucconi,WA,1959-11-23,Bachelors Degree,M,2008-06-25
1900,Pam,Gallegos,CA,1980-05-11,High School Degree,F,2011-05-09
1950,Kathaleen,Cohen,CA,1977-07-22,Bachelors Degree,F,2007-05-10
2050,Ann,Bagley,CA,1967-04-20,Bachelors Degree,F,2007-07-13
2150,Richard,Westfall,CA,1939-03-14,Partial College,F,2011-03-03
